###detector para
#sample_rate(Hz)
1000
#adcinfo_name stationinfo_name north(m) east(m) elevation(m) sesitivity sesitivity_unit component_port display_control
1 y1 4207193.26 697851.22 1336.64 200.00 v/m/s 1/2/3 1
41604 y2 4206975.08 697949.82 1320.64 200.00 v/m/s 1/2/3 1
53018 y3 4206728.33 697774.20 1295.94 200.00 v/m/s 1/2/3 1
53016 y4 4206499.74 697571.47 1279.90 200.00 v/m/s 1/2/3 1
53022 y5 4206234.37 697503.15 1251.34 200.00 v/m/s 1/2/3 1
53023 y6 4206089.35 697348.11 1208.60 200.00 v/m/s 1/2/3 1
53029 y7 4206015.23 697523.46 1202.34 200.00 v/m/s 1/2/3 1
41771 y8 4206757.75 698072.40 1332.84 200.00 v/m/s 1/2/3 1
43269 y9 4206500.99 697908.55 1289.96 200.00 v/m/s 1/2/3 1
41740 y10 4206393.47 698074.15 1254.56 200.00 v/m/s 1/2/3 1
41590 y11 4206036.94 697847.96 1206.94 200.00 v/m/s 1/2/3 1
41450 y12 4206170.49 698324.44 1257.20 200.00 v/m/s 1/2/3 1
43393 y13 4206111.10 698563.53 1274.25 200.00 v/m/s 1/2/3 1
41609 y14 4205880.56 698361.84 1281.65 200.00 v/m/s 1/2/3 1
41605 y15 4205642.11 698348.52 1290.07 200.00 v/m/s 1/2/3 1
53015 y16 4205757.77 697968.08 1281.01 200.00 v/m/s 1/2/3 1
53006 y17 4205498.00 698052.89 1279.72 200.00 v/m/s 1/2/3 1
41441 y18 4205381.17 697934.61 1282.13 200.00 v/m/s 1/2/3 1
41753 y19 4206225.05 698721.18 1281.32 200.00 v/m/s 1/2/3 1
11 j1 4206634.21 697950.17 1317.20 200.00 v/m/s 1/2/3 1
4 j4 4206320.51 698066.78 1270.00 200.00 v/m/s 1/2/3 1
5 j5 4206303.93 697806.10 1294.10 200.00 v/m/s 1/2/3 1
6 j6 4206097.67 698114.52 1257.40 200.00 v/m/s 1/2/3 1
